level,,tissue,celltype,count,percent,sample
sample,58,,Myeloid,427,0.2280982905982906,GSM5004186_O1
sample,59,,NK,8,0.004273504273504274,GSM5004186_O1
sample,60,,Proliferative,19,0.01014957264957265,GSM5004186_O1
sample,61,,T,330,0.1762820512820513,GSM5004186_O1
sample,62,,Unknown,57,0.030448717948717948,GSM5004186_O1
sample,63,,B,941,0.2539811066126856,GSM5004187_P1
sample,64,,Endothelial,100,0.02699055330634278,GSM5004187_P1
sample,65,,Epithelial,374,0.100944669365722,GSM5004187_P1
sample,66,,Fibro,300,0.08097165991902834,GSM5004187_P1
sample,67,,Myeloid,596,0.16086369770580297,GSM5004187_P1
sample,68,,NK,320,0.08636977058029689,GSM5004187_P1
sample,69,,Proliferative,26,0.007017543859649123,GSM5004187_P1
sample,70,,T,988,0.26666666666666666,GSM5004187_P1
sample,71,,Unknown,60,0.016194331983805668,GSM5004187_P1
sample,72,,B,79,0.06294820717131475,GSM5004188_Li1
sample,73,,Endothelial,22,0.01752988047808765,GSM5004188_Li1
sample,74,,Epithelial,37,0.02948207171314741,GSM5004188_Li1
sample,75,,Fibro,4,0.0031872509960159364,GSM5004188_Li1
sample,76,,Myeloid,175,0.1394422310756972,GSM5004188_Li1
sample,77,,NK,24,0.019123505976095617,GSM5004188_Li1
sample,78,,Proliferative,7,0.005577689243027889,GSM5004188_Li1
sample,79,,T,889,0.7083665338645418,GSM5004188_Li1
sample,80,,Unknown,18,0.014342629482071713,GSM5004188_Li1
sample,81,,B,1402,0.14117410129896285,GSM5004189_Li2
sample,82,,Endothelial,19,0.0019132010875037762,GSM5004189_Li2
sample,83,,Epithelial,37,0.003725707380928406,GSM5004189_Li2
sample,84,,Fibro,6,0.0006041687644748766,GSM5004189_Li2
sample,85,,Myeloid,1949,0.19625415366025575,GSM5004189_Li2
sample,86,,NK,472,0.047527942805356965,GSM5004189_Li2
sample,87,,Proliferative,68,0.006847245997381935,GSM5004189_Li2
sample,88,,T,5907,0.5948041486255161,GSM5004189_Li2
sample,89,,Unknown,71,0.007149330379619374,GSM5004189_Li2
